"indID","name","units"
"PSP010","Total population (both sexes combined) by major area, region and country, annually for 1950-2100","thousands"
"PSP050","Average annual rate of population change by major area, region and country, 1950-2100","percentage"
"PSP070","Median age by major area, region and country, 1950-2100","years"
"PSP080","Population density by major area, region and country, 1950-2100","persons per square km"
"PVN010","Prevalence of undernourishment ","% of population"
"PVN070","Population undernourished","percentage"
"TT014","Seats held by women in national parliament","percentage"
"PCH100","Children 1 year old immunized against measles","percentage"
"PVW010","Proportion of the population using improved drinking water sources","total"
"PVW040","Proportion of the population using improved sanitation facilities","total"
"PVH190","Maternal mortality ratio per 100,000 live births",""
"PVH140","Children under five mortality rate per 1,000 live births",""
"PVE130","Total net enrolment ratio in primary education","both sexes"
"PVN050","Children under 5 moderately or severely underweight","percentage"
"PCX080","Fixed-telephone subscriptions per 100 inhabitants",""
"PCX051","Mobile-cellular subscriptions per 100 inhabitants",""
"_Internet users per 100 inhabitants","Internet users per 100 inhabitants",""
"PVN060","Population undernourished","millions"
"PCH090","Routine EPI vaccines financed by government","%"
"CG140","ISO Currency Code",""
"CG290","Date of Entry into UN",""
"CG320","ISO Country alpha-2-code",""
"CG020","Formal Name",""
"CG080","Capital City",""
"CG120","Currency Abbr.",""
"CG070","ISO Country alpha-3-code",""
"CG100","Languages",""
"CG030","Short Name",""
"CG260","AccuWeather URL",""
"CD010","Wikipedia: geography","url"
"CD030","Wikipedia: climate","url"
"CD050","Wikipedia: economy","url"
"CD060","Wikipedia: transport","url"
"CD070","Wikipedia: education","url"
"CD080","Wikipedia: demographics","url"
"CD090","Wikipedia: religion","url"
"CG150","Income Category",""
"CG300","Land area ","sq. km"
"PSE250","Net ODA received per capita ","current US$"
"PCX140","Access to electricity ","% of population"
"PSP090","Population density ","people per sq. km of land area"
"PSP110","Population in urban agglomerations of more than 1 million","uno"
"PSE200","Inflation, consumer prices ","annual %"
"PVL030","Roads, total network ","km"
"PVL040","Rail lines ","total route-km"
"PCX090","Mobile cellular subscriptions ","per 100 people"
"PCX110","Telephone lines ","per 100 people"
"PCX100","Internet users ","per 100 people"
"PCX130","Logistics performance index: Overall ","1=low to 5=high"
"PSE130","Household final consumption expenditure, PPP ","constant 2005 international $"
"PSE030","GDP per capita, PPP ","current international $"
"_GDP per capita, PPP (constant 2005 international $)","GDP per capita, PPP ","constant 2005 international $"
"PSE120","GNI ","current US$"
"PSE230","GNI, PPP ","current international $"
"PSE090","GNI per capita, PPP ","current international $"
"PCH110","Number of infant deaths","uno"
"TT030","Prevalence of HIV, total ","% of population ages 15-49"
"PSE170","Poverty headcount ratio at $1.25 a day (PPP) ","% of population"
"PSE210","GINI index","uno"
"TT036","Share of women employed in the nonagricultural sector ","% of total nonagricultural employment"
"TT027T","International migrant stock ","% of population"
"PVH080","Mortality rate, adult, female ","per 1,000 female adults"
"PVH090","Mortality rate, adult, male ","per 1,000 male adults"
"PSE140","Age dependency ratio, old ","% of working-age population"
"PSE150","Age dependency ratio, young ","% of working-age population"
"PSP060","Population growth ","annual %"
"PSP120","Population, total","uno"
"PVL010","Number of airports","count"
"_reliefweb_Situation_Report","Number of ReliefWeb reports flagged with ocha_product: Situation Report","uno"
"_reliefweb_Humanitarian_Bulletin","Number of ReliefWeb reports flagged with ocha_product: Humanitarian Bulletin","uno"
"_reliefweb_Humanitarian_Dashboard","Number of ReliefWeb reports flagged with ocha_product: Humanitarian Dashboard","uno"
"_reliefweb_Humanitarian_Snapshot","Number of ReliefWeb reports flagged with ocha_product: Humanitarian Snapshot","uno"
"_reliefweb_Key_Messages","Number of ReliefWeb reports flagged with ocha_product: Key Messages","uno"
"_reliefweb_Press_Release","Number of ReliefWeb reports flagged with ocha_product: Press Release","uno"
"_reliefweb_Press_Review","Number of ReliefWeb reports flagged with ocha_product: Press Review","uno"
"_reliefweb_Statement/Speech","Number of ReliefWeb reports flagged with ocha_product: Statement/Speech","uno"
"_reliefweb_Other","Number of ReliefWeb reports flagged with ocha_product: Other","uno"
"_reliefweb_Thematic_Map","Number of ReliefWeb reports flagged with ocha_product: Thematic Map","uno"
"_reliefweb_Reference_Map","Number of ReliefWeb reports flagged with ocha_product: Reference Map","uno"
"_reliefweb_Infographic","Number of ReliefWeb reports flagged with ocha_product: Infographic","uno"
"PSE240","Gender Inequality Index, value",""
"PVH180","Maternal mortality ratio","deaths of women per 100,000 live births"
"PVE010","Public expenditure on education (% of GDP)","%"
"PVH120","Under-five mortality","per 1,000 live births"
"PVE030","Expected Years of Schooling (of children)","years"
"PVE120","Combined gross enrolment in education (both sexes)","%"
"PSE160","Population living below $1.25 PPP per day","%"
"PVE040","Adult literacy rate, both sexes","% aged 15 and above"
"PVE110","Mean years of schooling (of adults)","years"
"PSE110","GNI per capita in PPP terms (constant 2005 international $)","Constant 2005 international $"
"PSE220","HDI Rank","rank"
"PVX060","Impact of natural disasters: number of deaths","per million people per year"
"TT029","Total sexual violence at the national level, number of police-recorded offences","count"
"_anc45(WEALTHQUINTILE=WQ1)","Antenatal care coverage - at least four visits (in the five years preceding the survey)  - Q1 (Poorest)","%"
"_anc45(WEALTHQUINTILE=WQ2)","Antenatal care coverage - at least four visits (in the five years preceding the survey)  - Q2","%"
"_anc45(EDUCATIONLEVEL=NHLM)","Antenatal care coverage - at least four visits (in the five years preceding the survey)  - None","%"
"_anc45(WEALTHQUINTILE=WQ3)","Antenatal care coverage - at least four visits (in the five years preceding the survey)  - Q3","%"
"TT037R5","Antenatal care coverage - at least four visits (in the five years preceding the survey)  - Rural","%"
"_anc45(EDUCATIONLEVEL=PRLM)","Antenatal care coverage - at least four visits (in the five years preceding the survey)  - Primary","%"
"_anc45(WEALTHQUINTILE=WQ4)","Antenatal care coverage - at least four visits (in the five years preceding the survey)  - Q4","%"
"TT037F5","Antenatal care coverage - at least four visits (in the five years preceding the survey)  - Female","%"
"TT037M5","Antenatal care coverage - at least four visits (in the five years preceding the survey)  - Male","%"
"TT037U5","Antenatal care coverage - at least four visits (in the five years preceding the survey)  - Urban","%"
"_anc45(WEALTHQUINTILE=WQ5)","Antenatal care coverage - at least four visits (in the five years preceding the survey)  - Q5 (Richest)","%"
"_anc45(EDUCATIONLEVEL=SHLM)","Antenatal care coverage - at least four visits (in the five years preceding the survey)  - Secondary or higher","%"
"_anc43(WEALTHQUINTILE=WQ1)","Antenatal care coverage - at least four visits (in the three years preceding the survey)  - Q1 (Poorest)","%"
"_anc43(WEALTHQUINTILE=WQ2)","Antenatal care coverage - at least four visits (in the three years preceding the survey)  - Q2","%"
"_anc43(EDUCATIONLEVEL=NHLM)","Antenatal care coverage - at least four visits (in the three years preceding the survey)  - None","%"
"_anc43(WEALTHQUINTILE=WQ3)","Antenatal care coverage - at least four visits (in the three years preceding the survey)  - Q3","%"
"TT037R3","Antenatal care coverage - at least four visits (in the three years preceding the survey)  - Rural","%"
"_anc43(EDUCATIONLEVEL=PRLM)","Antenatal care coverage - at least four visits (in the three years preceding the survey)  - Primary","%"
"_anc43(WEALTHQUINTILE=WQ4)","Antenatal care coverage - at least four visits (in the three years preceding the survey)  - Q4","%"
"TT037M3","Antenatal care coverage - at least four visits (in the three years preceding the survey)  - Male","%"
"TT037F3","Antenatal care coverage - at least four visits (in the three years preceding the survey)  - Female","%"
"TT037U3","Antenatal care coverage - at least four visits (in the three years preceding the survey)  - Urban","%"
"_anc43(WEALTHQUINTILE=WQ5)","Antenatal care coverage - at least four visits (in the three years preceding the survey)  - Q5 (Richest)","%"
"_anc43(EDUCATIONLEVEL=SHLM)","Antenatal care coverage - at least four visits (in the three years preceding the survey)  - Secondary or higher","%"
"_anc4(EDUCATIONLEVEL=NHLM)","Antenatal care coverage - at least four visits (in the two years preceding the survey)  - None","%"
"_anc4(WEALTHQUINTILE=WQ1)","Antenatal care coverage - at least four visits (in the two years preceding the survey)  - Q1 (Poorest)","%"
"_anc4(WEALTHQUINTILE=WQ2)","Antenatal care coverage - at least four visits (in the two years preceding the survey)  - Q2","%"
"_anc4(RESIDENCEAREATYPE=RUR)","Antenatal care coverage - at least four visits (in the two years preceding the survey)  - Rural","%"
"_anc4(EDUCATIONLEVEL=PRLM)","Antenatal care coverage - at least four visits (in the two years preceding the survey)  - Primary","%"
"_anc4(WEALTHQUINTILE=WQ3)","Antenatal care coverage - at least four visits (in the two years preceding the survey)  - Q3","%"
"_anc4(WEALTHQUINTILE=WQ4)","Antenatal care coverage - at least four visits (in the two years preceding the survey)  - Q4","%"
"_anc4(RESIDENCEAREATYPE=URB)","Antenatal care coverage - at least four visits (in the two years preceding the survey)  - Urban","%"
"_anc4(EDUCATIONLEVEL=SHLM)","Antenatal care coverage - at least four visits (in the two years preceding the survey)  - Secondary or higher","%"
"_anc4(WEALTHQUINTILE=WQ5)","Antenatal care coverage - at least four visits (in the two years preceding the survey)  - Q5 (Richest)","%"
"TT035M","Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS  - Male","%"
"TT035F","Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS  - Female","%"
"TT034M","Prevalence of condom use by adults during higher-risk sex (15-49)  - Male","%"
"TT034F","Prevalence of condom use by adults during higher-risk sex (15-49)  - Female","%"
"_anc13(WEALTHQUINTILE=WQ1)","Antenatal care coverage - at least one visit (in the three years preceding the survey)  - Q1 (Poorest)","%"
"_anc13(WEALTHQUINTILE=WQ2)","Antenatal care coverage - at least one visit (in the three years preceding the survey)  - Q2","%"
"_anc13(EDUCATIONLEVEL=NHLM)","Antenatal care coverage - at least one visit (in the three years preceding the survey)  - None","%"
"_anc13(WEALTHQUINTILE=WQ3)","Antenatal care coverage - at least one visit (in the three years preceding the survey)  - Q3","%"
"TT031R3","Antenatal care coverage - at least one visit (in the three years preceding the survey)  - Rural","%"
"TT031M3","Antenatal care coverage - at least one visit (in the three years preceding the survey)  - Male","%"
"_anc13(EDUCATIONLEVEL=PRLM)","Antenatal care coverage - at least one visit (in the three years preceding the survey)  - Primary","%"
"TT031F3","Antenatal care coverage - at least one visit (in the three years preceding the survey)  - Female","%"
"_anc13(WEALTHQUINTILE=WQ4)","Antenatal care coverage - at least one visit (in the three years preceding the survey)  - Q4","%"
"TT031U3","Antenatal care coverage - at least one visit (in the three years preceding the survey)  - Urban","%"
"_anc13(EDUCATIONLEVEL=SHLM)","Antenatal care coverage - at least one visit (in the three years preceding the survey)  - Secondary or higher","%"
"_anc13(WEALTHQUINTILE=WQ5)","Antenatal care coverage - at least one visit (in the three years preceding the survey)  - Q5 (Richest)","%"
"_anc1(WEALTHQUINTILE=WQ1)","Antenatal care coverage - at least one visit (in the two years preceding the survey)  - Q1 (Poorest)","%"
"_anc1(WEALTHQUINTILE=WQ2)","Antenatal care coverage - at least one visit (in the two years preceding the survey)  - Q2","%"
"_anc1(EDUCATIONLEVEL=NHLM)","Antenatal care coverage - at least one visit (in the two years preceding the survey)  - None","%"
"TT031R2","Antenatal care coverage - at least one visit (in the two years preceding the survey)  - Rural","%"
"_anc1(WEALTHQUINTILE=WQ3)","Antenatal care coverage - at least one visit (in the two years preceding the survey)  - Q3","%"
"_anc1(WEALTHQUINTILE=WQ4)","Antenatal care coverage - at least one visit (in the two years preceding the survey)  - Q4","%"
"_anc1(EDUCATIONLEVEL=PRLM)","Antenatal care coverage - at least one visit (in the two years preceding the survey)  - Primary","%"
"TT031U2","Antenatal care coverage - at least one visit (in the two years preceding the survey)  - Urban","%"
"_anc1(WEALTHQUINTILE=WQ5)","Antenatal care coverage - at least one visit (in the two years preceding the survey)  - Q5 (Richest)","%"
"_anc1(EDUCATIONLEVEL=SHLM)","Antenatal care coverage - at least one visit (in the two years preceding the survey)  - Secondary or higher","%"
"_sba5(WEALTHQUINTILE=WQ1)","Births attended by skilled health personnel (in the five years preceding the survey)  - Q1 (Poorest)","%"
"_sba5(WEALTHQUINTILE=WQ2)","Births attended by skilled health personnel (in the five years preceding the survey)  - Q2","%"
"_sba5(WEALTHQUINTILE=WQ3)","Births attended by skilled health personnel (in the five years preceding the survey)  - Q3","%"
"TT033R5","Births attended by skilled health personnel (in the five years preceding the survey)  - Rural","%"
"_sba5(EDUCATIONLEVEL=NHLM)","Births attended by skilled health personnel (in the five years preceding the survey)  - None","%"
"_sba5(WEALTHQUINTILE=WQ4)","Births attended by skilled health personnel (in the five years preceding the survey)  - Q4","%"
"TT033F5","Births attended by skilled health personnel (in the five years preceding the survey)  - Female","%"
"TT033M5","Births attended by skilled health personnel (in the five years preceding the survey)  - Male","%"
"_sba5(EDUCATIONLEVEL=PRLM)","Births attended by skilled health personnel (in the five years preceding the survey)  - Primary","%"
"_sba5(WEALTHQUINTILE=WQ5)","Births attended by skilled health personnel (in the five years preceding the survey)  - Q5 (Richest)","%"
"_sba5(EDUCATIONLEVEL=SHLM)","Births attended by skilled health personnel (in the five years preceding the survey)  - Secondary or higher","%"
"TT033U5","Births attended by skilled health personnel (in the five years preceding the survey)  - Urban","%"
"_sba3(WEALTHQUINTILE=WQ1)","Births attended by skilled health personnel (in the three years preceding the survey)  - Q1 (Poorest)","%"
"_sba3(WEALTHQUINTILE=WQ2)","Births attended by skilled health personnel (in the three years preceding the survey)  - Q2","%"
"_sba3(WEALTHQUINTILE=WQ3)","Births attended by skilled health personnel (in the three years preceding the survey)  - Q3","%"
"TT033R3","Births attended by skilled health personnel (in the three years preceding the survey)  - Rural","%"
"_sba3(EDUCATIONLEVEL=NHLM)","Births attended by skilled health personnel (in the three years preceding the survey)  - None","%"
"_sba3(WEALTHQUINTILE=WQ4)","Births attended by skilled health personnel (in the three years preceding the survey)  - Q4","%"
"TT033F3","Births attended by skilled health personnel (in the three years preceding the survey)  - Female","%"
"TT033M3","Births attended by skilled health personnel (in the three years preceding the survey)  - Male","%"
"_sba3(EDUCATIONLEVEL=PRLM)","Births attended by skilled health personnel (in the three years preceding the survey)  - Primary","%"
"_sba3(WEALTHQUINTILE=WQ5)","Births attended by skilled health personnel (in the three years preceding the survey)  - Q5 (Richest)","%"
"_sba3(EDUCATIONLEVEL=SHLM)","Births attended by skilled health personnel (in the three years preceding the survey)  - Secondary or higher","%"
"TT033U3","Births attended by skilled health personnel (in the three years preceding the survey)  - Urban","%"
"_sba(WEALTHQUINTILE=WQ1)","Births attended by skilled health personnel (in the two years preceding the survey)  - Q1 (Poorest)","%"
"_sba(EDUCATIONLEVEL=NHLM)","Births attended by skilled health personnel (in the two years preceding the survey)  - None","%"
"_sba(WEALTHQUINTILE=WQ2)","Births attended by skilled health personnel (in the two years preceding the survey)  - Q2","%"
"TT033R2","Births attended by skilled health personnel (in the two years preceding the survey)  - Rural","%"
"_sba(EDUCATIONLEVEL=PRLM)","Births attended by skilled health personnel (in the two years preceding the survey)  - Primary","%"
"_sba(WEALTHQUINTILE=WQ3)","Births attended by skilled health personnel (in the two years preceding the survey)  - Q3","%"
"_sba(WEALTHQUINTILE=WQ4)","Births attended by skilled health personnel (in the two years preceding the survey)  - Q4","%"
"TT033U2","Births attended by skilled health personnel (in the two years preceding the survey)  - Urban","%"
"_sba(EDUCATIONLEVEL=SHLM)","Births attended by skilled health personnel (in the two years preceding the survey)  - Secondary or higher","%"
"_sba(WEALTHQUINTILE=WQ5)","Births attended by skilled health personnel (in the two years preceding the survey)  - Q5 (Richest)","%"
"TT026","Children aged <5 years wasted for age  - Both sexes","%"
"TT026M","Children aged <5 years wasted for age  - Male","%"
"TT026F","Children aged <5 years wasted for age  - Female","%"
"TT025","Children aged <5 years overweight  - Both sexes","%"
"TT025M","Children aged <5 years overweight  - Male","%"
"TT025F","Children aged <5 years overweight  - Female","%"
"TT024","Children aged <5 years stunted  - Both sexes","%"
"TT024M","Children aged <5 years stunted  - Male","%"
"TT024F","Children aged <5 years stunted  - Female","%"
"TT020","Cholera case fatality rate",""
"TT019","Number of reported deaths from cholera",""
"TT018","Number of reported cases of cholera",""
"TT017","Number of meningitis epidemic districts",""
"TT016","Number of suspected meningitis deaths reported",""
"TT015","Number of suspected meningitis cases reported",""
"TT013","Children aged <5 years with fever who received treatment with any antimalarial  - Total","%"
"TT013U","Children aged <5 years with fever who received treatment with any antimalarial  - Urban","%"
"TT013R","Children aged <5 years with fever who received treatment with any antimalarial  - Rural","%"
"TT011","Estimated number of malaria deaths",""
"TT010","Malaria - number of reported deaths",""
"TT009","Estimated number of malaria cases",""
"TT008","Malaria - number of reported confirmed cases",""
"_WHS9_90","Population living on <$1 (PPP int. $) a day ","%"
"_WHS9_97","Annual population growth rate ","%"
"_WHS9_96","Population living in urban areas ","%"
"_WHS9_96(RESIDENCEAREATYPE=TOTL)","Population living in urban areas  - Total","%"
"_WHS9_92","Population proportion over 60 ","%"
"_WHS9_89","Population proportion under 15 ","%"
"_WHS9_88","Population median age ","years"
"_WHS9_86","Population (in thousands) total",""
"_WHS9_CS","Cellular subscribers ","per 100 population"
"_WHS9_CS(RESIDENCEAREATYPE=TOTL)","Cellular subscribers  - Total","per 100 population"
"_WHS9_CDR","Crude death rate ","per 1000 population"
"_WHS9_CBR","Crude birth rate ","per 1000 population"
"_WHS9_95","Total fertility rate ","per woman"
"_WHS9_93","Gross national income per capita ","PPP int. $"
"_WHS9_91","Civil registration coverage of births ","%"
"_WHS9_85","Literacy rate among adults aged >= 15 years ","%"
"_WHS8_110","Measles (MCV) immunization coverage among 1-year-olds ","%"
"_WHS7_156","Per capita total expenditure on health at average exchange rate ","US$"
"_WHS7_149","General government expenditure on health as a percentage of total expenditure on health",""
"_WHS7_147","Private expenditure on health as a percentage of total expenditure on health",""
"_WHS7_143","Total expenditure on health as a percentage of gross domestic product",""
"_WHS7_139","Out-of-pocket expenditure as a percentage of private expenditure on health",""
"_WHS7_134","Social security expenditure on health as a percentage of general government expenditure on health",""
"_WHS7_120","External resources for health as a percentage of total expenditure on health",""
"_WHS7_113","General government expenditure on health as a percentage of total government expenditure",""
"_WHS7_108","Per capita government expenditure on health ","PPP int. $"
"_WHS7_105","Per capita total expenditure on health ","PPP int. $"
"_WHS7_104","Per capita government expenditure on health at average exchange rate ","US$"
"_WHS7_103","Private prepaid plans as a percentage of private expenditure on health",""
"_WHS6_520","Density of environment and public health workers ","per 10 000 population"
"_WHS6_519","Density of pharmaceutical personnel ","per 10 000 population"
"_WHS6_518","Number of environment and public health workers",""
"_WHS6_517","Number of pharmaceutical personnel",""
"_WHS6_150","Community health workers density ","per 10 000 population"
"_WHS6_148","Nursing and midwifery personnel density ","per 10 000 population"
"_WHS6_144","Dentistry personnel density ","per 10 000 population"
"_WHS6_140","Number of community health workers",""
"_WHS6_136","Number of physicians",""
"_WHS6_127","Number of nursing and midwifery personnel",""
"_WHS6_125","Physicians density ","per 10 000 population"
"_WHS6_123","Number of dentistry personnel",""
"_WHS6_116","Median consumer price ratio of selected generic medicines - Private",""
"_WHS6_102","Hospital beds ","per 10 000 population"
"_WHS6_101","Median availability of selected generic medicines (%) - Private",""
"_WHS4_2530","Postnatal care visit within two days of birth ","%"
"_WHS4_154","Antenatal care coverage - at least four visits ","%"
"_WHS4_129","Hib (Hib3) immunization coverage among 1-year-olds ","%"
"_WHS4_128","Neonates protected at birth against neonatal tetanus (PAB) ","%"
"_WHS4_124","Children aged 6-59 months who received vitamin A supplementation ","%"
"_WHS4_117","Hepatitis B (HepB3) immunization coverage among 1-year-olds ","%"
"_WHS4_115","Births by caesarean section ","%"
"_WHS4_111_AGE1519","Antenatal care coverage - at least one visit, among girls aged 15-19 ","%"
"_WHS4_111","Antenatal care coverage - at least one visit ","%"
"_WHS4_108","Children aged <5 years with ARI symptoms who took antibiotic treatment ","%"
"_WHS4_107","Children aged <5 years with diarrhoea receiving ORT ","%"
"_WHS4_106","Children aged <5 years with ARI symptoms taken to a health facility ","%"
"_WHS4_100","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds ","%"
"_WHS3_62","Measles - number of reported cases",""
"_WHS3_57","Rubella - number of reported cases",""
"_WHS3_56","Neonatal tetanus - number of reported cases",""
"_WHS3_55","Congenital Rubella Syndrome - number of reported cases",""
"_WHS3_53","Mumps - number of reported cases",""
"_WHS3_52","Plague - number of reported cases",""
"_WHS3_51","H5N1 influenza - number of reported cases",""
"_WHS3_50","Yellow fever - number of reported cases",""
"_WHS3_49","Poliomyelitis - number of reported cases",""
"_WHS3_47","Meningitis - number of reported cases",""
"_WHS3_46","Total tetanus - number of reported cases",""
"_WHS3_45","Leprosy - number of reported cases",""
"_WHS3_43","Pertussis - number of reported cases",""
"_WHS3_42","Japanese encephalitis - number of reported cases",""
"_WHS3_41","Diphtheria - number of reported cases",""
"_WHS3_40","Cholera - number of reported cases",""
"_WHS2_523","Distribution of causes of death among children aged <5 years (%) - Birth asphyxia",""
"_WHS2_516","Distribution of causes of death among children aged <5 years (%) - Congenital anomalies",""
"_WHS2_515","Distribution of causes of death among children aged <5 years (%) - Neonatal sepsis",""
"_WHS2_514","Distribution of causes of death among children aged <5 years (%) - Prematurity",""
"_WHS2_513","Age-standardized mortality rate by cause (per 100 000 population) - Communicable",""
"_WHS2_3070_chronic","Age-standardized mortality rate by cause (ages 30-70, per 100 000 population) - Chronic respiratory conditions",""
"_WHS2_3070_cdd","Age-standardized mortality rate by cause (ages 30-70, per 100 000 population) - Cardiovasular disease and diabetes",""
"_WHS2_3070_cancer","Age-standardized mortality rate by cause (ages 30-70, per 100 000 population) - Cancer",""
"_WHS2_3070_all","Age-standardized mortality rate by cause (ages 30-70, per 100 000 population) - All causes",""
"_WHS2_174","Distribution of years of life lost by broader causes (%) - Injuries",""
"_WHS2_173","Distribution of years of life lost by broader causes (%) - Noncommunicable",""
"_WHS2_172","Distribution of years of life lost by broader causes (%) - Communicable",""
"_WHS2_171","Distribution of causes of death among children aged <5 years (%) - Other diseases",""
"_WHS2_170","Distribution of causes of death among children aged <5 years (%) - HIV/AIDS",""
"_WHS2_168","Distribution of causes of death among children aged <5 years (%) - Measles",""
"_WHS2_167","Distribution of causes of death among children aged <5 years (%) - Diarrhoea",""
"_WHS2_166","Distribution of causes of death among children aged <5 years (%) - Injuries",""
"_WHS2_165","Distribution of causes of death among children aged <5 years (%) - Pneumonia",""
"_WHS2_164","Distribution of causes of death among children aged <5 years (%) - Malaria",""
"_WHS2_163","Age-standardized mortality rate by cause (per 100 000 population) - Noncommunicable",""
"_WHS2_162","Age-standardized mortality rate by cause (per 100 000 population) - Injuries",""
"_WHS2_138","Deaths due to HIV/AIDS ","per 100 000 population"
"_WHS10_9","Ill-defined causes in cause-of-death registration ","%"
"_WHS10_8","Civil registration coverage of cause-of-death ","%"
"_WHS10_1","Most recent census ","year"
"_WHOSIS_000015(SEX=MLE)","Life expectancy at age 60  - Male","years"
"_WHOSIS_000015(SEX=FMLE)","Life expectancy at age 60  - Female","years"
"_WHOSIS_000015(SEX=BTSX)","Life expectancy at age 60  - Both sexes","years"
"_WHOSIS_000011","Alcohol consumption among adults aged ?15 years ","litres of pure alcohol per person per year"
"_WHOSIS_000005","Low-birth-weight newborns ","%"
"_WHOSIS_000003(SEX=BTSX)","Neonatal mortality rate  - Both sexes","per 1000 live births"
"_WHOSIS_000001(SEX=MLE)","Life expectancy at birth  - Male","years"
"_WHOSIS_000001(SEX=FMLE)","Life expectancy at birth  - Female","years"
"_WHOSIS_000001(SEX=BTSX)","Life expectancy at birth  - Both sexes","years"
"_TB_tot_newrel","Tuberculosis - new and relapse cases",""
"_TB_1","Case detection rate for all forms of tuberculosis",""
"_SA_0000001688","Total (recorded + unrecorded) adult (15+ years) per capita consumption, projected estimates for 2008",""
"_MH_6","Psychiatrists working in mental health sector ","per 100,000"
"_MH_18","Psychiatrists working in mental health sector ","per 100,000"
"_MH_17","Mental hospitals ","per 100,000"
"_MDG_0000000034","Antiretroviral therapy coverage among people with advanced HIV infection (%), WHO 2006 guidelines",""
"_MDG_0000000033","Antiretroviral therapy coverage among people with HIV infection eligible for ART according to 2010 guidelines ","%"
"_MDG_0000000031","Smear-positive tuberculosis treatment-success rate ","%"
"_MDG_0000000029","Prevalence of HIV among adults aged 15 to 49 ","%"
"_MDG_0000000026","Maternal mortality ratio (per 100 000 live births) - Interagency estimates",""
"_MDG_0000000025_AGE1519","Births attended by skilled health personnel, among girls aged 15-19 ","%"
"_MDG_0000000025","Births attended by skilled health personnel ","%"
"_MDG_0000000023","Prevalence of tuberculosis ","per 100 000 population"
"_MDG_0000000020","Incidence of tuberculosis ","per 100 000 population per year"
"_MDG_0000000017","Deaths due to tuberculosis among HIV-negative people ","per 100 000 population"
"_MDG_0000000011","Median consumer price ratio of selected generic medicines - Public",""
"_MDG_0000000010","Median availability of selected generic medicines (%) - Public",""
"_MDG_0000000007(SEX=BTSX)","Under-five mortality rate  - Both sexes","probability of dying by age 5 per 1000 live births"
"_MDG_0000000006_AGE1519","Unmet need for family planning, among girls aged 15-19 ","%"
"_MDG_0000000006","Unmet need for family planning ","%"
"_MDG_0000000005_AGE1519","Contraceptive prevalence, among girls aged 15-19 ","%"
"_MDG_0000000005","Contraceptive prevalence ","%"
"_MDG_0000000003","Adolescent fertility rate ","per 1000 girls aged 15-19 years"
"_MDG_0000000001(SEX=BTSX)","Infant mortality rate  - Both sexes","probability of dying between birth and age 1 per 1000 live births"
"_HIV_0000000020","Estimated percentage of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission",""
"_DEVICES22","Total density per million population: Radiotherapy units",""
"_DEVICES09","Total density per million population: Computed tomography units",""
"_CM_03(SEX=BTSX)","Number of neonatal deaths  - Both sexes","thousands"
"_CM_02(SEX=BTSX)","Number of infant deaths  - Both sexes","thousands"
"_CM_01(SEX=BTSX)","Number of under-five deaths  - Both sexes","thousands"
