"period","value","region","indID","source","dsID","is_number"
2002,925,"DNK","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,500,"DNK","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,160,"DNK","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,146,"DNK","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,222,"DNK","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,61,"DNK","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,69,"DNK","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,377,"DNK","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,35,"DNK","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,715,"DNK","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,716,"DNK","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,322,"DNK","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,5126,"EGY","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,6138,"EGY","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,8465,"EGY","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,7832,"EGY","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,7665,"EGY","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,8727,"EGY","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,10248,"EGY","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,10053,"EGY","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,10785,"EGY","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,11110,"EGY","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,9011,"EGY","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,12332,"EGY","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,15845,"EGY","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,23073,"EGY","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,1479439,"ERI","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,336138,"ERI","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,344001,"ERI","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,126952,"ERI","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,133960,"ERI","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,148100,"ERI","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,198824,"ERI","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,220958,"ERI","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,201653,"ERI","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,223562,"ERI","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,236070,"ERI","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,266126,"ERI","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,305952,"ERI","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,338047,"ERI","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,129297,"ETH","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,122000,"ETH","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,100005,"ETH","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,82738,"ETH","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,85830,"ETH","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,85806,"ETH","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,96663,"ETH","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,112312,"ETH","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,105755,"ETH","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,112651,"ETH","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,117777,"ETH","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,109634,"ETH","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,121598,"ETH","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,133367,"ETH","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,287,"FIN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,44,"FIN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,190,"FIN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,171,"FIN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,82,"FIN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,134,"FIN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,64,"FIN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,14,"FIN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,14,"FIN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,21,"FIN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,16,"FIN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,148,"FIN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,99,"FIN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,5,"FIN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,657,"FRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,114,"FRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,377,"FRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,296,"FRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,244,"FRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,453,"FRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,339,"FRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,266,"FRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,281,"FRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,290,"FRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,176,"FRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,166,"FRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,155,"FRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,129,"FRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,295679,"GEO","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,284246,"GEO","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,281327,"GEO","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,276085,"GEO","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,246892,"GEO","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,245120,"GEO","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,256794,"GEO","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,284110,"GEO","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,450389,"GEO","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,377707,"GEO","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,377559,"GEO","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,287039,"GEO","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,293561,"GEO","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,275911,"GEO","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
