"dsID","indID","region","period","value","is_number","source","indicator_name","units","last_updated","last_scraped","source_name"
"acled","PVX040","DZA","1997","233",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","NAM","2007","24",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SSD","2005","99",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","EGY","2001","40",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","TUN","2009","1",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GNB","2012","18",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","CAF","2002","131",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","BWA","2002","3",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MRT","2006","6",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","NGA","1998","234",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","LBR","2006","36",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MWI","1998","10",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","BWA","1997","1",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","NER","2009","29",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GNB","2013","5",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MDG","2012","151",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GHA","1997","11",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GIN","2003","14",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ZMB","2009","66",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","BFA","2009","1",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","RWA","2011","78",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SOM","2004","778",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","EGY","2012","597",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","TCD","2012","13",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GAB","2012","14",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","KEN","2006","148",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","LSO","2006","6",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GMB","1997","5",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SSD","2011","263",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","CMR","1998","11",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MDG","2011","7",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GNQ","2006","2",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MDG","2009","145",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MAR","1998","20",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ERI","2007","10",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","NER","1998","108",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","NER","2001","16",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MOZ","1998","2",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","RWA","2008","20",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","NAM","2003","15",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ZAF","2011","121",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","KEN","2013","981",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MDG","1998","6",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ERI","2003","15",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SOM","2000","187",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","AGO","2003","11",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ETH","2013","320",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ZAF","2010","104",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","DZA","2003","64",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","NGA","1997","236",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","NGA","2007","411",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","TZA","2013","109",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","COG","2006","2",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ERI","1998","124",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GAB","2013","37",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","TGO","1999","5",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","TUN","1999","5",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SDN","1999","226",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MRT","2007","10",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MAR","2007","27",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ZAF","2009","190",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SOM","1999","188",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GIN","2012","58",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","TCD","2002","43",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MRT","2009","22",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","CMR","2002","3",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","RWA","2009","23",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MOZ","1999","6",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","CIV","2009","9",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GMB","2006","5",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","LSO","2009","5",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GNQ","2007","4",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","AGO","2002","66",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MWI","1999","2",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SLE","2001","184",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","COG","2001","13",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MOZ","2001","17",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GIN","1999","76",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","RWA","2001","77",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SSD","2013","582",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","TUN","2013","474",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MDG","2006","17",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","CIV","2013","176",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ZMB","2008","63",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SEN","2002","100",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ETH","2003","281",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SSD","2010","235",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ZWE","1997","26",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","TZA","2002","36",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GAB","2005","1",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ERI","2013","7",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MOZ","2005","31",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","CMR","2011","28",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SSD","2012","318",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ERI","2005","9",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SLE","2007","7",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","NER","2013","47",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MLI","2013","576",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GAB","2008","4",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MWI","2005","9",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GAB","2000","2",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ZMB","2012","87",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SSD","1997","190",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","TCD","2000","53",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","DJI","2000","3",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GIN","2000","335",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SEN","2009","48",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MLI","2009","25",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","NGA","2009","435",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","TZA","2008","37",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","UGA","1998","751",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GNB","1999","43",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ETH","1999","170",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","DJI","2004","4",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","BFA","2012","25",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GNQ","1997","6",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","ZMB","2011","51",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","TUN","1998","2",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","DZA","2007","921",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","BFA","2007","1",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","COG","2004","15",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","AGO","2012","20",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","NAM","2011","24",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SOM","2006","587",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MRT","2004","4",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","RWA","2002","9",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","DZA","2001","311",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SDN","2010","256",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SWZ","2010","14",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MAR","2005","27",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","DJI","2013","14",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
